,RAdeg,DEdeg,Z,LOGMSTAR,LOGMSTARERR,LOGSFRSED,LOGSFRSEDERR
225,138.31815,31.35845,0.0417,10.975,0.014,0.369,0.032
226,135.52957,34.49371,0.0322,9.945,0.032,-0.215,0.071
227,241.27856,42.03737,0.0768,11.111,0.019,0.595,0.046
228,168.7719,22.191338,0.0214,9.627,0.037,-0.37,0.051
229,141.45827,47.094063,0.0426,10.362,0.027,-0.37,0.217
230,169.12138,41.078335,0.0214,10.089,0.033,0.129,0.067
231,137.33954,18.875303,0.0277,10.04,0.016,-0.37,0.067
232,205.07602,32.15314,0.0258,9.983,0.027,-0.259,0.064
233,188.06503,37.528248,0.021,9.915,0.017,0.158,0.121
234,201.52206,12.389335,0.2021,11.733,0.012,-0.96,0.485
235,183.90683,58.60964,0.0818,10.92,0.029,-0.094,0.298
236,185.33765,18.41075,0.051,10.143,0.036,-0.345,0.198
237,117.27404,28.619408,0.0278,10.544,0.054,0.229,0.258
238,129.64091,35.91616,0.0273,9.894,0.03,-0.324,0.093
239,178.82985,33.146107,0.0108,8.852,0.058,-0.757,0.062
240,179.38762,20.760775,0.0674,10.589,0.035,-0.014,0.255
241,148.67245,46.371353,0.0254,10.254,0.02,-0.194,0.051
242,22.30931,-9.218784,0.0503,10.781,0.028,0.369,0.013
243,147.86333,17.808361,0.1536,11.378,0.021,-0.419,0.515
244,30.500841,20.429579,0.062,10.582,0.044,0.242,0.264
245,227.62125,36.389877,0.0454,10.316,0.031,0.07,0.05
246,155.03279,25.132483,0.0388,10.553,0.024,0.31,0.219
247,240.33836,16.306768,0.0368,10.801,0.033,0.854,0.039
248,125.23307,41.134327,0.0597,10.995,0.012,0.117,0.125
249,140.64061,50.20006,0.0169,10.051,0.028,-0.375,0.131
250,175.5819,28.589464,0.1538,11.83,0.011,-0.424,0.451
251,163.22647,18.319395,0.0761,11.036,0.015,0.466,0.029
252,358.12427,14.666885,0.0461,10.636,0.023,0.307,0.05
253,254.9919,36.691242,0.0615,10.473,0.072,0.765,0.164
254,185.02312,-2.937086,0.0918,10.733,0.017,-0.163,0.096
255,176.49417,19.803047,0.019,9.94,0.042,-1.496,0.554
256,139.45615,23.952318,0.0347,10.204,0.02,-0.251,0.1
257,121.79606,15.753632,0.0657,10.918,0.033,0.554,0.12
258,354.25443,15.319634,0.0655,10.912,0.01,-0.448,0.114
259,329.52405,-7.845214,0.0176,10.134,0.017,-0.596,0.062
260,177.25793,-1.102607,0.0199,9.88,0.026,-0.385,0.074
261,192.9747,45.673923,0.0625,10.83,0.036,0.61,0.149
262,208.06229,35.930656,0.1722,11.164,0.021,0.841,0.073
263,327.63232,-7.897013,0.1212,11.455,0.027,-0.731,0.685
264,173.65425,54.891327,0.0192,9.817,0.038,-0.529,0.169
265,219.19363,39.96539,0.0329,9.917,0.049,0.096,0.1
266,196.09306,51.760532,0.1047,11.224,0.015,0.474,0.131
267,242.44487,48.59459,0.0895,11.093,0.006,0.098,0.015
268,174.66673,55.259644,0.0637,11.128,0.032,0.851,0.132
269,167.63298,26.531448,0.0699,10.793,0.022,0.325,0.137
270,121.91327,47.80067,0.0399,10.273,0.049,0.092,0.237
271,195.09814,36.18611,0.0348,10.198,0.033,-0.226,0.136
272,188.3707,26.738045,0.0217,9.735,0.039,-0.475,0.146
